node,x,y,latitude,longitude
11077334,443142,4399107.5,39.7399693,-123.663586
11137284,445118,4399093.5,39.7399727,-123.640524
11139194,447028,4399093.5,39.7400935,-123.618234
11147125,446677,4399091.5,39.7400536,-123.62233
11148921,444332,4399090.5,39.7398947,-123.649697
11165276,444123,4399086.5,39.7398449,-123.652136
11207011,444448,4399076.5,39.7397761,-123.648342
11214753,443908,4399074.5,39.7397227,-123.654644
11215069,444224,4399074.5,39.7397434,-123.650956
11232805,445396,4399070.5,39.7397833,-123.637278
11233875,446466,4399070.5,39.7398512,-123.624791
11233880,446471,4399070.5,39.7398515,-123.624733
11236064,444514,4399069.5,39.7397173,-123.647571
11338890,443815,4399044.5,39.7394463,-123.655726
11345832,446616,4399043.5,39.7396173,-123.623038
11348743,445386,4399042.5,39.7395304,-123.637392
11374570,446367,4399036.5,39.7395386,-123.625944
11380851,444366,4399034.5,39.7393923,-123.649295
11386131,445505,4399033.5,39.7394569,-123.636003
11388472,443705,4399032.5,39.7393309,-123.657009
11432519,446342,4399022.5,39.7394109,-123.626234
11433894,443576,4399021.5,39.7392233,-123.658514
11534634,444932,4398997.5,39.7390957,-123.642687
11585624,446230,4398985.5,39.7390705,-123.627538
11596135,444318,4398982.5,39.7389207,-123.649851
11598048,446231,4398982.5,39.7390435,-123.627526
11610837,446597,4398979.5,39.7390395,-123.623255
11625393,444589,4398975.5,39.7388753,-123.646688
11630391,445446,4398974.5,39.7389216,-123.636687
11641610,444242,4398971.5,39.7388166,-123.650737
11647661,446152,4398970.5,39.7389304,-123.628447
11666990,444776,4398965.5,39.7387973,-123.644505
11714678,446913,4398954.5,39.738834,-123.619565
11736498,443887,4398948.5,39.7385861,-123.654878
11740945,444193,4398947.5,39.7385972,-123.651307
11763749,446292,4398942.5,39.738687,-123.626811
11766525,444927,4398941.5,39.7385909,-123.642741
11791579,445135,4398935.5,39.7385502,-123.640313
11803075,444208,4398932.5,39.738463,-123.651131
11814218,447069,4398930.5,39.7386275,-123.617743
11870758,445635,4398916.5,39.7384111,-123.634476
